Year,Month,Date,Vendor,Amount,Category,Section,Checking Balance,Type,,,,
2013,January,1/17/2013,Federal Tax,$285.59 ,Federal Taxes,Taxes,"$5,861.18 ",Expense,,,,
2013,January,1/17/2013,Medicare,$48.08 ,Medicare,Taxes,"$5,813.10 ",Expense,,,,
2013,January,1/17/2013,State Tax,$191.25 ,State Taxes,Taxes,"$5,621.85 ",Expense,,,,
2013,January,1/17/2013,FERS,$27.30 ,FERS,Retirement,"$5,594.55 ",Expense,,,,
2013,January,1/17/2013,BJs,$34.87 ,Gas,Transportation,"$5,559.68 ",Expense,,,,
2013,January,1/17/2013,Toys-R-Us,$64.60 ,Gifts,Personal,"$5,495.08 ",Expense,,,,
2013,January,1/18/2013,Safeway,$55.54 ,Gas,Transportation,"$5,439.54 ",Expense,,,,
2013,January,1/18/2013,BJs,$50.00 ,Misc.,Personal,"$5,389.54 ",Expense,,,,
2013,January,1/18/2013,BJs,$24.99 ,Gifts,Personal,"$5,364.55 ",Expense,,,,
2013,January,1/18/2013,BJs,$43.42 ,Groceries,Food,"$5,321.13 ",Expense,,,,
2013,January,1/22/2013,Amazon,$36.25 ,Supplements,Personal,"$5,284.88 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$15.60 ,Joey Sallie Mae,Debts,"$5,269.28 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$28.84 ,Joey Sallie Mae,Debts,"$5,240.44 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$30.94 ,Joey Sallie Mae,Debts,"$5,209.50 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$55.91 ,Joey Sallie Mae,Debts,"$5,153.59 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$66.87 ,Joey Sallie Mae,Debts,"$5,086.72 ",Expense,,,,
2013,January,1/22/2013,Sallie Mae,$68.94 ,Joey Sallie Mae,Debts,"$5,017.78 ",Expense,,,,
2013,January,1/22/2013,Geico,$161.31 ,Car Insurance,Transportation,"$4,856.47 ",Expense,,,,
2013,January,1/23/2013,MOMs,$17.14 ,Groceries,Food,"$4,839.33 ",Expense,,,,
2013,January,1/24/2013,BJs,$31.25 ,Gas,Transportation,"$4,808.08 ",Expense,,,,
2013,January,1/24/2013,World Vision,$60.00 ,Charity,Charity,"$4,748.08 ",Expense,,,,
2013,January,1/24/2013,La Plata Baptist Church,$242.56 ,Charity,Charity,"$4,505.52 ",Expense,,,,
2013,January,1/25/2013,Sea Wings Cafe,$6.54 ,Restaurants,Food,"$4,498.98 ",Expense,,,,
2013,January,1/25/2013,Transfer to Car,$100.00 ,Car Maintenance,Transportation,"$4,398.98 ",Expense,,,,
2013,January,1/28/2013,Safeway,$9.36 ,Restaurants,Food,"$4,389.62 ",Expense,,,,
2013,January,1/29/2013,BJs,$24.25 ,Groceries,Food,"$4,365.37 ",Expense,,,,
2013,February,1/30/2013,Books-A-Million,$23.17 ,Gifts,Personal,"$4,342.20 ",Expense,,,,
2013,January,1/30/2013,SMECO,$197.00 ,Electric,Utilities,"$4,145.20 ",Expense,,,,
2013,February,1/31/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$7,558.00 ",Income,,,,
2013,February,1/31/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$7,533.80 ",Expense,,,,
2013,February,1/31/2013,FEHB,$102.19 ,Health Insurance,Medical,"$7,431.61 ",Expense,,,,
2013,February,1/31/2013,OASDI,$205.26 ,Social Security,Taxes,"$7,226.35 ",Expense,,,,
2013,February,1/31/2013,Federal Tax,$279.38 ,Federal Taxes,Taxes,"$6,946.97 ",Expense,,,,
2013,February,1/31/2013,Medicare,$48.00 ,Medicare,Taxes,"$6,898.97 ",Expense,,,,
2013,February,1/31/2013,State Tax,$190.88 ,State Taxes,Taxes,"$6,708.09 ",Expense,,,,
2013,February,1/31/2013,FERS,$27.30 ,FERS,Retirement,"$6,680.79 ",Expense,,,,
2013,January,1/31/2013,BJs,$32.40 ,Gas,Transportation,"$6,648.39 ",Expense,,,,
2013,January,1/31/2013,SMJJA,$50.00 ,Exercise,Recreation,"$6,598.39 ",Expense,,,,
2013,January,1/31/2013,Dividend,$0.18 ,Other Income,Gross Income,"$6,598.57 ",Income,,,,
2013,January,2/4/2013,Transfer to Savings,$300.00 ,Savings,Saving,"$6,298.57 ",Expense,,,,
2013,February,2/1/2013,Verizon Wireless,$156.19 ,Cell Phone,Utilities,"$6,142.38 ",Expense,,,,
2013,February,2/1/2013,Charles County Government,$57.11 ,Water,Utilities,"$6,085.27 ",Expense,,,,
2013,January,2/4/2013,ATM Deposit,$50.00 ,Other Income,Gross Income,"$6,135.27 ",Income,,,,
2013,February,2/4/2013,Netflix,$16.46 ,TV,Utilities,"$6,118.81 ",Expense,,,,
2013,February,2/4/2013,Walmart,$3.78 ,Groceries,Food,"$6,115.03 ",Expense,,,,
2013,February,2/4/2013,Walmart,$25.60 ,Children Clothes,Clothing,"$6,089.43 ",Expense,,,,
2013,February,2/4/2013,MOMs,$97.93 ,Groceries,Food,"$5,991.50 ",Expense,,,,
2013,February,2/4/2013,BJs,$62.62 ,Groceries,Food,"$5,928.88 ",Expense,,,,
2013,February,2/4/2013,BJs,$44.98 ,Baby Supplies,Personal,"$5,883.90 ",Expense,,,,
2013,February,2/4/2013,BJs,$4.90 ,Misc.,Personal,"$5,879.00 ",Expense,,,,
2013,February,2/4/2013,BB&T,"$1,515.59 ",Mortgage,Housing,"$4,363.41 ",Expense,,,,
2013,February,2/4/2013,BB&T,$329.00 ,Property Taxes,Housing,"$4,034.41 ",Expense,,,,
2013,February,2/4/2013,BB&T,$72.00 ,Property Insurance,Housing,"$3,962.41 ",Expense,,,,
2013,February,2/5/2013,Shell,$60.55 ,Gas,Transportation,"$3,901.86 ",Expense,,,,
2013,February,2/5/2013,La Plata Baptist Church,$500.00 ,Charity,Charity,"$3,401.86 ",Expense,,,,
2013,February,2/6/2013,Sea Wings Cafe,$8.83 ,Restaurants,Food,"$3,393.03 ",Expense,,,,
2013,February,2/6/2013,Amazon,$14.25 ,Groceries,Food,"$3,378.78 ",Expense,,,,
2013,February,2/6/2013,BJs,$32.15 ,Gas,Transportation,"$3,346.63 ",Expense,,,,
2013,February,2/6/2013,Waste Management,$120.95 ,Trash,Utilities,"$3,225.68 ",Expense,,,,
2013,February,2/8/2013,Comcast,$72.37 ,Internet,Utilities,"$3,153.31 ",Expense,,,,
2013,February,2/11/2013,MOMs,$44.42 ,Groceries,Food,"$3,108.89 ",Expense,,,,
2013,February,2/11/2013,Ogas Asian Cuisine,$29.00 ,Restaurants,Food,"$3,079.89 ",Expense,,,,
2013,February,2/11/2013,Subway,$12.99 ,Restaurants,Food,"$3,066.90 ",Expense,,,,
2013,February,2/11/2013,Motherhood,$14.47 ,Clothes,Clothing,"$3,052.43 ",Expense,,,,
2013,February,2/11/2013,Shell,$35.52 ,Gas,Transportation,"$3,016.91 ",Expense,,,,
2013,February,2/12/2013,Motherhood,$8.47 ,Clothes,Clothing,"$3,008.44 ",Expense,,,,
2013,February,2/12/2013,BJs,$36.26 ,Groceries,Food,"$2,972.18 ",Expense,,,,
2013,February,2/12/2013,SMECO,$260.29 ,Electric,Utilities,"$2,711.89 ",Expense,,,,
2013,February,2/13/2013,Motherhood,$8.48 ,Clothes,Clothing,"$2,703.41 ",Expense,,,,
2013,February,2/14/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$6,116.21 ",Income,,,,
2013,February,2/14/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$6,092.01 ",Expense,,,,
2013,February,2/14/2013,FEHB,$102.19 ,Health Insurance,Medical,"$5,989.82 ",Expense,,,,
2013,February,2/14/2013,OASDI,$205.26 ,Social Security,Taxes,"$5,784.56 ",Expense,,,,
2013,February,2/14/2013,Federal Tax,$239.38 ,Federal Taxes,Taxes,"$5,545.18 ",Expense,,,,
2013,February,2/14/2013,Medicare,$48.01 ,Medicare,Taxes,"$5,497.17 ",Expense,,,,
2013,February,2/14/2013,State Tax,$115.56 ,State Taxes,Taxes,"$5,381.61 ",Expense,,,,
2013,February,2/14/2013,FERS,$27.30 ,FERS,Retirement,"$5,354.31 ",Expense,,,,
2013,February,2/15/2013,BJs,$18.00 ,FUN,Personal,"$5,336.31 ",Expense,,,,
2013,February,2/15/2013,BJs,$16.45 ,Groceries,Food,"$5,319.86 ",Expense,,,,
2013,February,2/19/2013,BJs,$38.13 ,Gas,Transportation,"$5,281.73 ",Expense,,,,
2013,February,2/19/2013,ATM Deposit,$25.00 ,Other Income,Gross Income,"$5,306.73 ",Income,,,,
2013,February,2/19/2013,ATM Deposit,$25.00 ,Other Income,Gross Income,"$5,331.73 ",Income,,,,
2013,February,2/19/2013,BJs,$5.80 ,Misc.,Personal,"$5,325.93 ",Expense,,,,
2013,February,2/19/2013,Sweet Frog,$7.41 ,FUN,Personal,"$5,318.52 ",Expense,,,,
2013,February,2/19/2013,QDOBA,$19.47 ,FUN,Personal,"$5,299.05 ",Expense,,,,
2013,February,2/19/2013,BJs,$23.66 ,Groceries,Food,"$5,275.39 ",Expense,,,,
2013,February,2/19/2013,Sallie Mae,$81.97 ,Rachel Sallie Mae,Debts,"$5,193.42 ",Expense,,,,
2013,February,2/20/2013,MOMs,$22.10 ,Groceries,Food,"$5,171.32 ",Expense,,,,
2013,February,2/20/2013,Geico,$110.45 ,Car Insurance,Transportation,"$5,060.87 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$15.60 ,Joey Sallie Mae,Debts,"$5,045.27 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$28.84 ,Joey Sallie Mae,Debts,"$5,016.43 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$30.94 ,Joey Sallie Mae,Debts,"$4,985.49 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$55.91 ,Joey Sallie Mae,Debts,"$4,929.58 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$66.79 ,Joey Sallie Mae,Debts,"$4,862.79 ",Expense,,,,
2013,February,2/21/2013,Sallie Mae,$68.86 ,Joey Sallie Mae,Debts,"$4,793.93 ",Expense,,,,
2013,February,2/25/2013,Walmart,$84.51 ,Car Maintenance,Transportation,"$4,709.42 ",Expense,,,,
2013,February,2/25/2013,Subway,$10.60 ,FUN,Personal,"$4,698.82 ",Expense,,,,
2013,February,2/25/2013,Tequilla Grill,$22.00 ,FUN,Personal,"$4,676.82 ",Expense,,,,
2013,February,2/25/2013,Wawa,$39.86 ,Gas,Transportation,"$4,636.96 ",Expense,,,,
2013,February,2/25/2013,World Vision,$60.00 ,Charity,Charity,"$4,576.96 ",Expense,,,,
2013,February,2/27/2013,Transfer to Car,$100.00 ,Car Maintenance,Transportation,"$4,476.96 ",Expense,,,,
2013,February,2/27/2013,La Plata Baptist Church,$182.56 ,Charity,Charity,"$4,294.40 ",Expense,,,,
2013,March,2/28/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$7,707.20 ",Income,,,,
2013,March,2/28/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$7,683.00 ",Expense,,,,
2013,March,2/28/2013,FEHB,$102.19 ,Health Insurance,Medical,"$7,580.81 ",Expense,,,,
2013,March,2/28/2013,OASDI,$205.25 ,Social Security,Taxes,"$7,375.56 ",Expense,,,,
2013,March,2/28/2013,Federal Tax,$189.38 ,Federal Taxes,Taxes,"$7,186.18 ",Expense,,,,
2013,March,2/28/2013,Medicare,$48.00 ,Medicare,Taxes,"$7,138.18 ",Expense,,,,
2013,March,2/28/2013,State Tax,$115.56 ,State Taxes,Taxes,"$7,022.62 ",Expense,,,,
2013,March,2/28/2013,FERS,$27.30 ,FERS,Retirement,"$6,995.32 ",Expense,,,,
2013,February,2/28/2013,Safeway,$12.86 ,Misc.,Personal,"$6,982.46 ",Expense,,,,
2013,March,2/28/2013,Giant,$34.00 ,Travel,Personal,"$6,948.46 ",Expense,,,,
2013,February,2/28/2013,SMJJA,$50.00 ,Exercise,Recreation,"$6,898.46 ",Expense,,,,
2013,February,2/28/2013,Dividend,$0.17 ,Other Income,Gross Income,"$6,898.63 ",Income,,,,
2013,March,3/1/2013,MOMs,$49.75 ,Travel,Personal,"$6,848.88 ",Expense,,,,
2013,March,3/4/2013,Subway,$4.25 ,Travel,Personal,"$6,844.63 ",Expense,,,,
2013,March,3/4/2013,Cinnabon,$4.27 ,Travel,Personal,"$6,840.36 ",Expense,,,,
2013,March,3/4/2013,Netflix,$16.46 ,TV,Utilities,"$6,823.90 ",Expense,,,,
2013,March,3/4/2013,EZ Pass,$25.00 ,Travel,Personal,"$6,798.90 ",Expense,,,,
2013,March,3/4/2013,Johnny Rockets,$50.00 ,Travel,Personal,"$6,748.90 ",Expense,,,,
2013,March,3/4/2013,BJs,$29.99 ,Baby Supplies,Personal,"$6,718.91 ",Expense,,,,
2013,March,3/4/2013,BJs,$36.97 ,Toiletries,Personal,"$6,681.94 ",Expense,,,,
2013,March,3/4/2013,BJs,$5.23 ,Misc.,Personal,"$6,676.71 ",Expense,,,,
2013,March,3/4/2013,BJs,$89.08 ,Groceries,Food,"$6,587.63 ",Expense,,,,
2013,March,3/5/2013,EZ Pass,$25.00 ,Travel,Personal,"$6,562.63 ",Expense,,,,
2013,March,3/5/2013,Shell,$62.10 ,Gas,Transportation,"$6,500.53 ",Expense,,,,
2013,March,3/5/2013,MOMs,$98.07 ,Groceries,Food,"$6,402.46 ",Expense,,,,
2013,March,3/5/2013,Verizon Wireless,$156.19 ,Cell Phone,Utilities,"$6,246.27 ",Expense,,,,
2013,February,3/6/2013,Transfer to Savings,$450.00 ,Savings,Saving,"$5,796.27 ",Expense,,,,
2013,March,3/11/2013,Exxon,$42.18 ,Gas,Transportation,"$5,754.09 ",Expense,,,,
2013,March,3/8/2013,Comcast,$72.37 ,Internet,Utilities,"$5,681.72 ",Expense,,,,
2013,March,3/11/2013,MOMs,$49.59 ,Groceries,Food,"$5,632.13 ",Expense,,,,
2013,March,3/12/2013,Red Robin,$31.00 ,FUN,Personal,"$5,601.13 ",Expense,,,,
2013,March,3/12/2013,SMECO,$289.70 ,Electric,Utilities,"$5,311.43 ",Expense,,,,
2013,March,3/12/2013,La Plata Baptist Church,$500.00 ,Charity,Charity,"$4,811.43 ",Expense,,,,
2013,March,3/14/2013,USPS,$8.64 ,Misc.,Personal,"$4,802.79 ",Expense,,,,
2013,March,3/14/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$8,215.59 ",Income,,,,
2013,March,3/14/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$8,191.39 ",Expense,,,,
2013,March,3/14/2013,FEHB,$102.19 ,Health Insurance,Medical,"$8,089.20 ",Expense,,,,
2013,March,3/14/2013,OASDI,$205.26 ,Social Security,Taxes,"$7,883.94 ",Expense,,,,
2013,March,3/14/2013,Federal Tax,$189.38 ,Federal Taxes,Taxes,"$7,694.56 ",Expense,,,,
2013,March,3/14/2013,Medicare,$48.00 ,Medicare,Taxes,"$7,646.56 ",Expense,,,,
2013,March,3/14/2013,State Tax,$115.56 ,State Taxes,Taxes,"$7,531.00 ",Expense,,,,
2013,March,3/14/2013,FERS,$27.30 ,FERS,Retirement,"$7,503.70 ",Expense,,,,
2013,March,3/15/2013,BJs,$40.16 ,Gas,Transportation,"$7,463.54 ",Expense,,,,
2013,March,3/18/2013,BJs,$15.47 ,Groceries,Food,"$7,448.07 ",Expense,,,,
2013,March,3/18/2013,Sweet Frog,$8.69 ,FUN,Personal,"$7,439.38 ",Expense,,,,
2013,March,3/18/2013,Sallie Mae,$81.97 ,Rachel Sallie Mae,Debts,"$7,357.41 ",Expense,,,,
2013,March,3/21/2013,Amazon,$10.73 ,Supplements,Personal,"$7,346.68 ",Expense,,,,
2013,March,3/21/2013,Amazon,$16.75 ,Misc.,Personal,"$7,329.93 ",Expense,,,,
2013,March,3/19/2013,Citi,$495.00 ,Credit Card,Debts,"$6,834.93 ",Expense,,,,
2013,March,3/20/2013,Walmart,$22.20 ,Children Clothes,Clothing,"$6,812.73 ",Expense,,,,
2013,March,3/20/2013,Geico,$110.42 ,Car Insurance,Transportation,"$6,702.31 ",Expense,,,,
2013,March,3/21/2013,Shell,$63.72 ,Gas,Transportation,"$6,638.59 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$15.60 ,Joey Sallie Mae,Debts,"$6,622.99 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$28.84 ,Joey Sallie Mae,Debts,"$6,594.15 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$30.94 ,Joey Sallie Mae,Debts,"$6,563.21 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$55.91 ,Joey Sallie Mae,Debts,"$6,507.30 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$66.79 ,Joey Sallie Mae,Debts,"$6,440.51 ",Expense,,,,
2013,March,3/21/2013,Sallie Mae,$68.86 ,Joey Sallie Mae,Debts,"$6,371.65 ",Expense,,,,
2013,March,3/22/2013,BJ's,$38.05 ,Gas,Transportation,"$6,333.60 ",Expense,,,,
2013,March,3/25/2013,BJ's,$18.35 ,Groceries,Food,"$6,315.25 ",Expense,,,,
2013,March,3/25/2013,MOMs,$43.47 ,Groceries,Food,"$6,271.78 ",Expense,,,,
2013,March,3/25/2013,World Vision,$60.00 ,Charity,Charity,"$6,211.78 ",Expense,,,,
2013,March,3/25/2013,Lowes,$41.28 ,Maintenance,Housing,"$6,170.50 ",Expense,,,,
2013,March,3/25/2013,Transfer to Gifts,$200.00 ,Gifts,Personal,"$5,970.50 ",Expense,,,,
2013,March,3/25/2013,Alicia Check,$100.00 ,Travel,Personal,"$5,870.50 ",Expense,,,,
2013,March,3/27/2013,SMJJA,$50.00 ,Exercise,Recreation,"$5,820.50 ",Expense,,,,
2013,March,3/27/2013,BJs,$32.72 ,Gas,Transportation,"$5,787.78 ",Expense,,,,
2013,March,3/28/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$9,200.58 ",Income,,,,
2013,March,3/28/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$9,176.38 ",Expense,,,,
2013,March,3/28/2013,FEHB,$102.19 ,Health Insurance,Medical,"$9,074.19 ",Expense,,,,
2013,March,3/28/2013,OASDI,$205.26 ,Social Security,Taxes,"$8,868.93 ",Expense,,,,
2013,March,3/28/2013,Federal Tax,$189.38 ,Federal Taxes,Taxes,"$8,679.55 ",Expense,,,,
2013,March,3/28/2013,Medicare,$48.01 ,Medicare,Taxes,"$8,631.54 ",Expense,,,,
2013,March,3/28/2013,State Tax,$115.56 ,State Taxes,Taxes,"$8,515.98 ",Expense,,,,
2013,March,3/28/2013,FERS,$27.30 ,FERS,Retirement,"$8,488.68 ",Expense,,,,
2013,March,3/28/2013,Transfer to Savings,"$1,522.55 ",Refinance,Housing,"$6,966.13 ",Expense,,,,
2013,March,3/29/2013,Dividend,$0.27 ,Other Income,Gross Income,"$6,966.40 ",Income,,,,
2013,April,4/1/2013,BJs,$2.10 ,FUN,Personal,"$6,964.30 ",Expense,,,,
2013,March,4/1/2013,La Tolteca,$10.22 ,FUN,Personal,"$6,954.08 ",Expense,,,,
2013,March,4/1/2013,Ritas,$10.37 ,Misc.,Personal,"$6,943.71 ",Expense,,,,
2013,March,4/1/2013,BJs,$15.98 ,Misc.,Personal,"$6,927.73 ",Expense,,,,
2013,April,4/1/2013,MOMs,$39.19 ,Groceries,Food,"$6,888.54 ",Expense,,,,
2013,April,4/1/2013,BJs,$55.29 ,Groceries,Food,"$6,833.25 ",Expense,,,,
2013,April,4/1/2013,Lowes,$94.26 ,Maintenance,Housing,"$6,738.99 ",Expense,,,,
2013,April,4/2/2013,Safeway,$5.39 ,Groceries,Food,"$6,733.60 ",Expense,,,,
2013,April,4/2/2013,Netflix,$16.46 ,TV,Utilities,"$6,717.14 ",Expense,,,,
2013,April,4/2/2013,BJs,$35.75 ,Gas,Transportation,"$6,681.39 ",Expense,,,,
2013,March,4/2/2013,Transfer to Savings,"$2,600.00 ",Savings,Saving,"$4,081.39 ",Expense,,,,
2013,April,4/3/2013,BJs,$20.97 ,Groceries,Food,"$4,060.42 ",Expense,,,,
2013,April,4/3/2013,Verizon Wireless,$156.19 ,Cell Phone,Utilities,"$3,904.23 ",Expense,,,,
2013,March,4/3/2013,La Plata Baptist Church,$523.84 ,Charity,Charity,"$3,380.39 ",Expense,,,,
2013,April,4/4/2013,Amazon,$13.89 ,Groceries,Food,"$3,366.50 ",Expense,,,,
2013,April,4/8/2013,Motherhood,$75.90 ,Clothes,Clothing,"$3,290.60 ",Expense,,,,
2013,April,4/8/2013,MOMs,$74.25 ,Groceries,Food,"$3,216.35 ",Expense,,,,
2013,April,4/8/2013,BJs,$25.52 ,Groceries,Food,"$3,190.83 ",Expense,,,,
2013,April,4/8/2013,BJs,$26.79 ,Baby Supplies,Personal,"$3,164.04 ",Expense,,,,
2013,April,4/8/2013,ATM Deposit,"$2,147.94 ",Other Income,Gross Income,"$5,311.98 ",Income,,,,
2013,April,4/8/2013,ATM Deposit,$4.95 ,Other Income,Gross Income,"$5,316.93 ",Income,,,,
2013,April,4/8/2013,Lowes,$155.34 ,Maintenance,Housing,"$5,161.59 ",Expense,,,,
2013,April,4/8/2013,Qdoba,$16.13 ,FUN,Personal,"$5,145.46 ",Expense,,,,
2013,April,4/8/2013,Lowes,($12.56),Maintenance,Housing,"$5,158.02 ",Expense,,,,
2013,April,4/8/2013,Lowes,$45.35 ,Maintenance,Housing,"$5,112.67 ",Expense,,,,
2013,April,4/8/2013,Comcast,$72.37 ,Internet,Utilities,"$5,040.30 ",Expense,,,,
2013,April,4/9/2013,Shell,$34.96 ,Gas,Transportation,"$5,005.34 ",Expense,,,,
2013,April,4/10/2013,La Plata Baptist Church,$500.00 ,Charity,Charity,"$4,505.34 ",Expense,,,,
2013,April,4/11/2013,DFAS,"$3,412.80 ",Joey Income,Gross Income,"$7,918.14 ",Income,,,,
2013,April,4/11/2013,FEGLI,$24.20 ,Life Insurance,Medical,"$7,893.94 ",Expense,,,,
2013,April,4/11/2013,FEHB,$102.19 ,Health Insurance,Medical,"$7,791.75 ",Expense,,,,
2013,April,4/11/2013,OASDI,$205.26 ,Social Security,Taxes,"$7,586.49 ",Expense,,,,
2013,April,4/11/2013,Federal Tax,$189.38 ,Federal Taxes,Taxes,"$7,397.11 ",Expense,,,,
2013,April,4/11/2013,Medicare,$48.00 ,Medicare,Taxes,"$7,349.11 ",Expense,,,,
2013,April,4/11/2013,State Tax,$115.56 ,State Taxes,Taxes,"$7,233.55 ",Expense,,,,
2013,April,4/11/2013,FERS,$27.30 ,FERS,Retirement,"$7,206.25 ",Expense,,,,
2013,April,4/12/2013,Shell,$59.36 ,Gas,Transportation,"$7,146.89 ",Expense,,,,
2013,April,4/12/2013,USPS,$8.70 ,Misc.,Personal,"$7,138.19 ",Expense,,,,
2013,April,4/12/2013,Wal Mart,$14.28 ,Children Clothes,Clothing,"$7,123.91 ",Expense,,,,
2013,April,4/12/2013,Kohls,$5.81 ,Gifts,Personal,"$7,118.10 ",Expense,,,,
2013,April,4/17/2013,Kohls,$79.53 ,Gifts,Personal,"$7,038.57 ",Expense,,,,
